Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Heinsberg",9,187605,,187605,,131761,,131761,,2409,,1923,,129352,,129838,,31111,,27877,,65143,,53888,,12342,,21315,,8933,,9307,,9859,,10638,,1964,,1532,,,,17,,,,73,,,,1976,,,,420,,,,69,,,,,,,,,,,,413,,,,94,,,,,,,,,,,,24,,,,,,,,1047,,,,199,,,,,,,,,,,,,,,,,,,,20,,,,,,,,784,,,,145,,,,,,,,,,,,,,,,,,
91,"Düren",9,199907,,199907,,144058,,144058,,2447,,1979,,141611,,142079,,43655,,36209,,65662,,53597,,10745,,21383,,8956,,11102,,10079,,11924,,2514,,2066,,,,20,,,,74,,,,2273,,,,592,,,,72,,,,,,,,,,,,259,,,,62,,,,,,,,,,,,28,,,,,,,,1100,,,,207,,,,,,,,,,,,,,,,,,,,19,,,,,,,,891,,,,201,,,,,,,,,,,,,,,,,,
92,"Erftkreis I",9,245417,,245417,,180037,,180037,,2597,,2259,,177440,,177778,,63487,,49072,,69845,,60798,,18620,,29495,,11195,,16136,,11215,,13214,,2620,,1952,,,,33,,,,98,,,,2688,,,,933,,,,80,,458,,,,,,,,,,500,,,,151,,,,,,,,,,,,42,,,,,,,,1333,,,,195,,,,,,,,,,,,,,,,,,,,29,,,,,,,,793,,,,236,,,,,,,,,,,,,,,,,,
93,"Euskirchen - Erftkreis II",9,245382,,245382,,176069,,176069,,3421,,2576,,172648,,173493,,50035,,40709,,75290,,63653,,20620,,32011,,12239,,15126,,11679,,13139,,2321,,1810,,,,43,,,,146,,,,2523,,,,844,,,,103,,464,,,,,,,,,,420,,,,160,,,,,,,,,,,,40,,,,,,,,1276,,,,326,,,,,,,,,,,,,,,,,,,,24,,,,,,,,931,,,,209,,,,,,,,,,,,,,,,,,
94,"Köln I",9,186798,,186798,,127011,,127011,,1718,,1178,,125293,,125833,,43837,,33774,,42094,,34195,,10902,,18981,,15557,,20019,,10614,,12092,,1971,,1398,,,,70,,,,53,,,,2522,,,,454,,,,74,,318,,,,,,,,,,368,,,,146,,,,,,,,,,,,25,,,,,,,,816,,,,214,,,,,,,,,,,,,,,,,,,,20,,,,,,,,433,,,,179,,,,,,,,,,,,,,,,,,
95,"Köln II",9,224430,,224430,,172562,,172562,,1350,,1006,,171212,,171556,,55471,,37665,,59710,,48545,,18455,,32663,,26614,,34040,,9550,,12138,,1131,,809,,281,,41,,,,48,,,,3237,,,,341,,,,67,,,,,,,,,,,,227,,,,252,,,,,,,,,,,,27,,,,,,,,755,,,,207,,,,,,,,,,,,,,,,,,,,28,,,,,,,,337,,,,129,,,,,,,,,,,,,,,,,,
96,"Köln III",9,197023,,197023,,134252,,134252,,1619,,1296,,132633,,132956,,47625,,37019,,38093,,33367,,11187,,17225,,22550,,24797,,11390,,13540,,1788,,1231,,,,53,,,,57,,,,2791,,,,456,,,,58,,,,,,,,,,,,367,,,,201,,,,,,,,,,,,38,,,,,,,,847,,,,257,,,,,,,,,,,,,,,,,,,,26,,,,,,,,473,,,,153,,,,,,,,,,,,,,,,,,
97,"Bonn",9,219218,,219218,,167574,,167574,,1898,,1655,,165676,,165919,,55251,,37387,,51674,,51654,,31606,,31483,,16856,,26573,,8381,,11624,,1211,,1049,,,,40,,,,52,,,,3685,,,,280,,,,87,,,,,,446,,,,,,244,,,,208,,,,,,,,,,251,,87,,,,,,,,786,,,,74,,,,,,,,,,,,,,,,,,,,26,,,,,,,,443,,,,137,,,,,,,,,,,,,,,,,,
98,"Rhein-Sieg-Kreis I",9,231404,,231404,,167034,,167034,,2203,,1856,,164831,,165178,,42568,,37986,,73959,,58516,,18727,,31488,,15389,,17359,,10523,,11650,,1765,,1462,,,,19,,,,93,,,,2887,,,,432,,,,100,,319,,,,,,,,,,271,,,,153,,,,,,,,,,,,21,,,,,,,,1113,,,,194,,,,,,,,,,,,,,,,,,,,15,,,,,,,,678,,1581,,741,,,,,,,,,,,,,,,,,,
99,"Rhein-Sieg-Kreis II",9,211859,,211859,,161746,,161746,,1994,,1715,,159752,,160031,,39489,,33235,,80363,,59487,,16012,,34858,,14046,,16898,,7430,,8800,,1443,,1188,,,,27,,,,69,,,,2445,,,,331,,,,96,,,,,,,,,,,,224,,,,149,,,,,,,,,,,,15,,,,,,,,974,,,,163,,,,,,,,,,,,,,,,,,,,15,,,,,,,,605,,969,,452,,,,,,,,,,,,,,,,,,
100,"Oberbergischer Kreis",9,211963,,211963,,150609,,150609,,2389,,2173,,148220,,148436,,41165,,35604,,71759,,56807,,12990,,25007,,10066,,12826,,9599,,11070,,1734,,1317,,,,16,,,,119,,,,2035,,,,551,,,,79,,449,,,,,,,,,,380,,458,,264,,,,,,,,,,,,36,,,,,,,,977,,,,228,,,,,,,,,,,,,,,,,,,,22,,,,,,,,905,,,,193,,,,,,,,,,,,,,,,,,
101,"Rheinisch-Bergischer Kreis",9,215582,,215582,,166669,,166669,,1598,,1541,,165071,,165128,,43992,,38415,,82523,,58572,,14198,,31480,,13745,,18582,,8561,,10832,,1643,,1227,,,,30,,,,94,,,,2346,,,,543,,,,87,,409,,,,,,,,,,353,,,,177,,,,,,,,,,,,47,,,,,,,,1111,,,,292,,,,,,,,,,,,,,,,,,,,18,,,,,,,,725,,,,197,,,,,,,,,,,,,,,,,,
102,"Leverkusen - Köln IV",9,213303,,213303,,146460,,146460,,2044,,1605,,144416,,144855,,53517,,40982,,51242,,43188,,11332,,20670,,13386,,18064,,11723,,13715,,2364,,1815,,323,,180,,,,92,,,,2578,,,,620,,,,76,,529,,,,,,,,,,448,,,,160,,,,,,,,,,,,42,,,,,,,,1039,,,,292,,,,,,,,,,,,,,,,,,,,29,,,,,,,,712,,,,153,,,,,,,,,,,,,,,,,,
103,"Wuppertal I",9,216614,,216614,,145089,,145089,,2101,,1915,,142988,,143174,,51180,,39244,,49021,,40972,,11852,,19458,,13308,,18285,,15003,,16743,,2337,,1537,,287,,114,,,,78,,,,2880,,,,533,,,,56,,,,,,,,,,,,1098,,,,128,,,,,,,,,,,,25,,,,,,,,1009,,,,189,,,,,,,,,,,,,,,,,,,,27,,,,,,,,629,,,,169,,,,,,,,,,,,,,,,,,
104,"Solingen - Remscheid - Wuppertal II",9,229927,,229927,,162192,,162192,,2157,,1794,,160035,,160398,,54910,,42869,,62365,,51248,,13940,,26079,,12956,,16357,,13418,,15057,,2446,,1668,,,,91,,,,139,,,,2891,,,,668,,,,102,,,,,,,,,,,,664,,,,157,,,,,,,,,,,,44,,,,,,,,1103,,,,223,,,,,,,,,,,,,,,,,,,,26,,,,,,,,819,,,,193,,,,,,,,,,,,,,,,,,
105,"Mettmann I",9,204450,,204450,,150715,,150715,,1709,,1613,,149006,,149102,,50319,,36767,,66300,,52053,,11674,,27081,,10611,,15404,,8412,,10411,,1690,,1218,,,,32,,,,69,,,,2401,,,,596,,,,84,,,,,,,,,,,,628,,,,123,,,,,,,,,,,,48,,,,,,,,960,,,,257,,,,,,,,,,,,,,,,,,,,21,,,,,,,,785,,,,164,,,,,,,,,,,,,,,,,,
106,"Mettmann II",9,168402,,168402,,122690,,122690,,1541,,1261,,121149,,121429,,43173,,32740,,48276,,40999,,11332,,20574,,8447,,11350,,8418,,9839,,1503,,1061,,,,28,,,,84,,,,1955,,,,422,,,,94,,,,,,,,,,,,467,,,,95,,,,,,,,,,,,28,,,,,,,,756,,,,199,,,,,,,,,,,,,,,,,,,,20,,,,,,,,596,,,,122,,,,,,,,,,,,,,,,,,
107,"Düsseldorf I",9,218215,,218215,,159600,,159600,,1586,,1214,,158014,,158386,,45125,,35625,,68749,,52747,,16472,,31626,,15894,,19967,,10266,,11962,,1304,,804,,204,,71,,,,47,,,,2554,,,,439,,,,90,,,,,,,,,,,,734,,,,104,,,,,,,,,,,,38,,,,,,,,876,,,,155,,,,,,,,,,,,,,,,,,,,28,,,,,,,,405,,,,114,,,,,,,,,,,,,,,,,,
108,"Düsseldorf II",9,195910,,195910,,134823,,134823,,1690,,1328,,133133,,133495,,44295,,34873,,50233,,40906,,10758,,20625,,13137,,16897,,12948,,13244,,1560,,900,,202,,64,,,,63,,,,2499,,,,495,,,,89,,,,,,,,,,,,1002,,,,108,,,,,,,,,,,,28,,,,,,,,841,,,,208,,,,,,,,,,,,,,,,,,,,23,,,,,,,,511,,,,119,,,,,,,,,,,,,,,,,,
109,"Neuss I",9,213950,,213950,,149942,,149942,,1966,,1695,,147976,,148247,,43614,,36812,,70787,,55419,,12763,,25944,,9935,,12133,,8709,,9755,,2168,,1543,,,,30,,,,85,,,,2556,,,,603,,,,509,,,,,,,,,,,,530,,,,107,,,,,,,,,,,,22,,,,,,,,989,,,,242,,,,,,,,,,,,,,,,,,,,22,,,,,,,,813,,,,133,,,,,,,,,,,,,,,,,,
110,"Mönchengladbach",9,194294,,194294,,124190,,124190,,1774,,1444,,122416,,122746,,33852,,30018,,55784,,43020,,11573,,22148,,10162,,10876,,9233,,10241,,1569,,1231,,,,31,,,,49,,,,2191,,,,526,,,,259,,243,,,,,,,,,,301,,,,84,,,,,,,,,,,,20,,,,,,,,906,,,,196,,,,,,,,,,,,,,,,,,,,19,,,,,,,,526,,,,104,,,,,,,,,,,,,,,,,,
111,"Krefeld I - Neuss II",9,204291,,204291,,149731,,149731,,1695,,1473,,148036,,148258,,43087,,35551,,62639,,53252,,18168,,28625,,12043,,13867,,8641,,10016,,1358,,1012,,,,44,,,,60,,,,2267,,,,522,,,,285,,,,,,,,,,,,345,,,,90,,,,,,,,,,,,32,,,,,,,,926,,,,195,,,,,,,,,,,,,,,,,,,,20,,,,,,2100,,1028,,,,121,,,,,,,,,,,,,,,,,,
112,"Viersen",9,227805,,227805,,164366,,164366,,1990,,1658,,162376,,162708,,41691,,36743,,79359,,61723,,15755,,30071,,12633,,14433,,11102,,11935,,1836,,1428,,,,22,,,,78,,,,2554,,,,723,,,,106,,,,,,,,,,,,302,,,,130,,,,,,,,,,,,22,,,,,,,,1269,,,,171,,,,,,,,,,,,,,,,,,,,25,,,,,,,,840,,,,133,,,,,,,,,,,,,,,,,,
113,"Kleve",9,226029,,226029,,158453,,158453,,2128,,1714,,156325,,156739,,46290,,36810,,76480,,66161,,14620,,25249,,10148,,12355,,8787,,9566,,,,1045,,,,25,,,,95,,,,2277,,,,511,,,,90,,,,,,,,,,,,299,,,,138,,,,,,,,,,,,29,,,,,,,,974,,,,166,,,,,,,,,,,,,,,,,,,,15,,,,,,,,819,,,,115,,,,,,,,,,,,,,,,,,
114,"Wesel I",9,207451,,207451,,151261,,151261,,1740,,1553,,149521,,149708,,57225,,48139,,57576,,49564,,10624,,19441,,9873,,12853,,11071,,12676,,1569,,1323,,,,30,,,,87,,,,2335,,,,446,,,,86,,,,,,,,,,,,395,,,,114,,,,,,,,,,,,28,,,,,,,,969,,,,187,,,,,,,,,,,,,,,,,,,,15,,,,,,1583,,923,,,,97,,,,,,,,,,,,,,,,,,
115,"Krefeld II - Wesel II",9,182878,,182878,,129601,,129601,,1681,,1412,,127920,,128189,,50636,,40990,,44906,,38812,,11098,,18168,,9462,,12727,,10123,,11438,,1425,,1091,,270,,108,,,,76,,,,2078,,,,539,,,,72,,,,,,,,,,,,308,,,,76,,,,,,,,,,,,21,,,,,,,,841,,,,187,,,,,,,,,,,,,,,,,,,,20,,,,,,,,535,,,,102,,,,,,,,,,,,,,,,,,
116,"Duisburg I",9,185802,,185802,,128326,,128326,,1837,,1634,,126489,,126692,,53363,,45956,,40001,,33638,,7501,,12709,,9791,,12118,,13237,,14678,,2191,,1529,,,,161,,,,110,,,,2305,,,,551,,,,131,,405,,,,,,,,,,594,,,,107,,,,,,,,,,,,36,,,,,,,,1038,,,,217,,,,,,,,,,,,,,,,,,,,32,,,,,,,,662,,,,120,,,,,,,,,,,,,,,,,,
117,"Duisburg II",9,159541,,159541,,95554,,95554,,1709,,1467,,93845,,94087,,44436,,38305,,24779,,21808,,5189,,7872,,5430,,6582,,10519,,12940,,2953,,1960,,275,,168,,,,114,,,,1503,,,,453,,,,177,,264,,,,,,,,,,519,,,,51,,,,,,,,,,,,32,,,,,,,,818,,,,175,,,,,,,,,,,,,,,,,,,,28,,,,,,,,502,,,,80,,,,,,,,,,,,,,,,,,
118,"Oberhausen - Wesel III",9,212283,,212283,,148108,,148108,,1982,,1803,,146126,,146305,,65189,,57689,,40001,,35712,,9231,,15049,,14772,,13352,,14008,,16311,,2643,,2011,,282,,118,,,,135,,,,2325,,,,667,,,,93,,,,,,,,,,,,480,,,,106,,,,,,,,,,,,43,,,,,,,,1109,,,,211,,,,,,,,,,,,,,,,,,,,35,,,,,,,,740,,,,119,,,,,,,,,,,,,,,,,,
119,"Mülheim - Essen I",9,194638,,194638,,140658,,140658,,1722,,1407,,138936,,139251,,57547,,49498,,44653,,37762,,11852,,18416,,10801,,13253,,12143,,13226,,1940,,1458,,,,139,,,,83,,,,2054,,,,518,,,,66,,,,,,,,,,,,538,,,,97,,,,,,,,,,,,60,,,,,,,,1018,,,,227,,,,,,,,,,,,,,,,,,,,32,,,,,,,,698,,,,108,,,,,,,,,,,,,,,,,,
120,"Essen II",9,171457,,171457,,107997,,107997,,1581,,1308,,106416,,106689,,49023,,41637,,28968,,25067,,6967,,10947,,7352,,9495,,11065,,12431,,2218,,1619,,240,,141,,,,62,,,,1852,,,,407,,,,74,,,,,,,,,,,,979,,,,65,,,,,,,,,,583,,154,,,,,,,,874,,,,171,,,,,,,,,,,,,,,,,,,,31,,,,,,,,565,,,,118,,,,,,,,,,,,,,,,,,
121,"Essen III",9,197729,,197729,,149281,,149281,,1591,,1198,,147690,,148083,,57055,,45888,,53269,,44455,,11035,,20829,,13969,,17807,,10240,,12239,,1614,,1227,,,,91,,,,75,,,,2341,,,,404,,,,78,,,,,,,,,,,,598,,,,109,,,,,,,,,,508,,148,,,,,,,,915,,,,173,,,,,,,,,,,,,,,,,,,,39,,,,,,,,525,,,,142,,,,,,,,,,,,,,,,,,
122,"Recklinghausen I",9,174767,,174767,,124037,,124037,,1847,,1379,,122190,,122658,,52627,,43571,,37504,,34732,,9090,,13462,,7846,,9984,,12781,,14202,,2078,,1470,,,,80,,,,182,,,,2162,,,,463,,,,56,,264,,,,,,,,,,410,,,,82,,,,,,,,,,,,30,,,,,,,,852,,,,202,,,,,,,,,,,,,,,,,,,,17,,,,,,,,599,,,,102,,,,,,,,,,,,,,,,,,
123,"Recklinghausen II",9,194999,,194999,,140361,,140361,,1810,,1428,,138551,,138933,,58984,,51110,,44021,,40418,,10678,,15219,,8603,,10299,,13805,,14614,,2269,,1554,,191,,96,,,,135,,,,2285,,,,467,,,,64,,,,,,,,,,,,483,,,,83,,,,,,,,,,,,28,,,,,,,,1010,,,,211,,,,,,,,,,,,,,,,,,,,29,,,,,,,,694,,,,134,,,,,,,,,,,,,,,,,,
124,"Gelsenkirchen",9,187486,,187486,,121673,,121673,,2652,,1472,,119021,,120201,,64623,,50435,,31011,,27930,,8344,,10846,,9013,,8327,,,,14497,,4199,,2018,,1831,,454,,,,108,,,,2148,,,,510,,,,67,,,,,,,,,,,,1094,,,,52,,,,,,,,,,,,33,,,,,,,,818,,,,158,,,,,,,,,,,,,,,,,,,,21,,,,,,,,573,,,,112,,,,,,,,,,,,,,,,,,
125,"Steinfurt I - Borken I",9,200304,,200304,,143677,,143677,,1979,,1411,,141698,,142266,,42736,,34893,,63123,,59231,,17533,,22277,,8774,,10999,,8306,,9197,,1226,,993,,,,16,,,,62,,,,2249,,,,358,,,,128,,,,,,,,,,,,201,,,,113,,,,,,,,,,,,20,,,,,,,,568,,,,227,,,,,,,,,,,,,,,,,,,,20,,,,,,,,647,,,,67,,,,,,,,,,,,,,,,,,
126,"Bottrop - Recklinghausen III",9,208655,,208655,,148523,,148523,,1804,,1596,,146719,,146927,,62810,,54532,,48290,,42153,,9710,,16171,,8372,,10267,,13765,,15624,,2391,,1738,,243,,128,,,,114,,,,2261,,,,578,,,,74,,,,,,,,,,,,643,,1138,,447,,,,,,,,,,,,34,,,,,,,,1052,,,,182,,,,,,,,,,,,,,,,,,,,23,,,,,,,,804,,,,102,,,,,,,,,,,,,,,,,,
127,"Borken II",9,196659,,196659,,147728,,147728,,1494,,1231,,146234,,146497,,37324,,32344,,79254,,67056,,12521,,24230,,9706,,10793,,6385,,7222,,1044,,805,,,,17,,,,56,,,,1823,,,,344,,,,103,,,,,,,,,,,,188,,,,94,,,,,,,,,,,,12,,,,,,,,599,,,,100,,,,,,,,,,,,,,,,,,,,13,,,,,,,,625,,,,73,,,,,,,,,,,,,,,,,,
128,"Coesfeld - Steinfurt II",9,189353,,189353,,146369,,146369,,1372,,1100,,144997,,145269,,37851,,31790,,73636,,61901,,14229,,24041,,10674,,13607,,7634,,8504,,973,,752,,,,13,,,,67,,,,2008,,,,424,,,,93,,,,,,,,,,,,213,,,,163,,,,,,,,,,,,16,,,,,,,,705,,,,169,,,,,,,,,,,,,,,,,,,,20,,,,,,,,703,,,,80,,,,,,,,,,,,,,,,,,
129,"Steinfurt III",9,192966,,192966,,143782,,143782,,1842,,1371,,141940,,142411,,58679,,43523,,61444,,51067,,11613,,20001,,,,13366,,9075,,9250,,1129,,929,,,,14,,,,71,,,,2047,,,,286,,,,63,,,,,,,,,,,,204,,,,85,,,,,,,,,,,,24,,,,,,,,555,,,,169,,,,,,,,,,,,,,,,,,,,15,,,,,,,,686,,,,56,,,,,,,,,,,,,,,,,,
130,"Münster",9,210934,,210934,,163921,,163921,,1362,,1190,,162559,,162731,,53029,,38604,,63819,,54902,,16131,,23951,,20822,,27985,,7805,,10970,,718,,574,,,,39,,,,38,,,,3489,,,,294,,,,78,,235,,,,,,,,,,175,,,,417,,,,,,,,,,,,17,,,,,,,,567,,,,107,,,,,,,,,,,,,,,,,,,,19,,,,,,,,416,,,,89,,,,,,,,,,,,,,,,,,
131,"Warendorf",9,211287,,211287,,156217,,156217,,2696,,1809,,153521,,154408,,49996,,37608,,75187,,62706,,16333,,23668,,,,14609,,12005,,9824,,,,977,,,,8,,,,82,,,,2308,,,,443,,,,107,,,,,,,,,,,,302,,,,119,,,,,,,,,,,,14,,,,,,,,688,,,,132,,,,,,,,,,,,,,,,,,,,16,,,,,,,,685,,,,112,,,,,,,,,,,,,,,,,,
132,"Gütersloh",9,232944,,232944,,168245,,168245,,2536,,1925,,165709,,166320,,53509,,42512,,74149,,64808,,15138,,24698,,11924,,16035,,9909,,10855,,,,1202,,,,25,,,,118,,,,2639,,,,546,,,,86,,455,,,,,,,,,,361,,625,,379,,,,,,,,,,,,24,,,,,,,,855,,,,177,,,,,,,,,,,,,,,,,,,,24,,,,,,,,824,,,,152,,,,,,,,,,,,,,,,,,
133,"Bielefeld",9,247085,,247085,,180441,,180441,,2348,,2091,,178093,,178350,,61405,,53583,,64621,,54277,,10852,,19883,,24981,,25057,,14056,,17126,,1784,,1453,,,,68,,,,120,,,,3497,,,,551,,,,67,,,,,,,,,,,,311,,,,179,,,,,,,,,,394,,100,,,,,,,,956,,,,190,,,,,,,,,,,,,,,,,,,,45,,,,,,,,755,,,,132,,,,,,,,,,,,,,,,,,
134,"Herford - Minden-Lübbecke II",9,233781,,233781,,165115,,165115,,2497,,2079,,162618,,163036,,62644,,53661,,61244,,53025,,15549,,22018,,11091,,14121,,12090,,12887,,,,1362,,,,31,,,,90,,,,2373,,,,421,,,,56,,,,,,,,,,,,603,,,,137,,,,,,,,,,,,26,,,,,,,,942,,,,215,,,,,,,,,,,,,,,,,,,,23,,,,,,,,856,,,,189,,,,,,,,,,,,,,,,,,
135,"Minden-Lübbecke I",9,209155,,209155,,147381,,147381,,1996,,1756,,145385,,145625,,57561,,47299,,61751,,51869,,9628,,18097,,7636,,11482,,8809,,10401,,,,917,,,,21,,,,83,,,,2284,,,,397,,,,56,,,,,,,,,,,,771,,,,113,,,,,,,,,,,,22,,,,,,,,713,,,,153,,,,,,,,,,,,,,,,,,,,29,,,,,,,,820,,,,98,,,,,,,,,,,,,,,,,,
136,"Lippe I",9,174517,,174517,,127817,,127817,,1880,,1522,,125937,,126295,,50688,,43628,,46447,,40545,,11879,,16627,,8431,,10270,,8492,,9059,,,,1039,,,,23,,,,94,,,,2283,,,,397,,,,66,,,,,,,,,,,,358,,,,119,,,,,,,,,,,,36,,,,,,,,728,,,,139,,,,,,,,,,,,,,,,,,,,10,,,,,,,,779,,,,95,,,,,,,,,,,,,,,,,,
137,"Höxter - Lippe II",9,216917,,216917,,158321,,158321,,2673,,2368,,155648,,155953,,49149,,45184,,71813,,58814,,12086,,23125,,9957,,11708,,9100,,10266,,1502,,1151,,,,21,,,,109,,,,2474,,,,374,,,,91,,,,,,,,,,,,254,,455,,309,,,,,,,,,,,,21,,,,,,,,727,,,,132,,,,,,,,,,,,,,,,,,,,31,,,,,,1586,,1037,,,,125,,,,,,,,,,,,,,,,,,
138,"Paderborn",9,243442,,243442,,172558,,172558,,2208,,2107,,170350,,170451,,43120,,34925,,88754,,73354,,15282,,28805,,12001,,14619,,9436,,10380,,1757,,1340,,,,24,,,,116,,,,3478,,,,467,,,,113,,,,,,,,,,,,377,,,,184,,,,,,,,,,,,26,,,,,,,,810,,,,145,,,,,,,,,,,,,,,,,,,,28,,,,,,,,1111,,,,149,,,,,,,,,,,,,,,,,,
139,"Hagen - Ennepe-Ruhr-Kreis I",9,217768,,217768,,150712,,150712,,1885,,1650,,148827,,149062,,63980,,49061,,49893,,45225,,11251,,18246,,8836,,13557,,12188,,14448,,2679,,1774,,,,87,,,,96,,,,2407,,,,706,,,,72,,,,,,,,,,,,937,,,,79,,,,,,,,,,,,36,,,,,,,,1231,,,,278,,,,,,,,,,,,,,,,,,,,12,,,,,,,,673,,,,137,,,,,,,,,,,,,,,,,,
140,"Ennepe-Ruhr-Kreis II",9,183435,,183435,,135860,,135860,,1727,,1430,,134133,,134430,,54845,,46848,,40763,,35927,,13392,,16778,,11621,,15248,,11180,,12596,,1762,,1382,,285,,153,,,,108,,,,2180,,,,559,,,,61,,285,,,,,,,,,,307,,,,116,,,,,,,,,,,,29,,,,,,,,1103,,,,194,,,,,,,,,,,,,,,,,,,,42,,,,,,,,673,,,,126,,,,,,,,,,,,,,,,,,
141,"Bochum I",9,214358,,214358,,153800,,153800,,1853,,1579,,151947,,152221,,65810,,55224,,47030,,37763,,8578,,16390,,12775,,18094,,14741,,16442,,2268,,1796,,259,,126,,,,101,,,,2943,,,,538,,,,57,,,,,,,,,,,,360,,,,119,,,,,,,,,,486,,100,,,,,,,,1171,,,,214,,,,,,,,,,,,,,,,,,,,49,,,,,,,,608,,,,126,,,,,,,,,,,,,,,,,,
142,"Herne - Bochum II",9,188777,,188777,,128511,,128511,,3036,,1948,,125475,,126563,,64331,,50922,,33693,,28681,,8545,,11591,,12393,,11074,,,,16261,,2570,,1563,,1175,,175,,,,164,,,,2074,,,,568,,,,60,,,,,,,,,,2768,,1418,,,,81,,,,,,,,,,,,20,,,,,,,,944,,,,236,,,,,,,,,,,,,,,,,,,,34,,,,,,,,604,,,,93,,,,,,,,,,,,,,,,,,
143,"Dortmund I",9,214213,,214213,,149331,,149331,,1556,,1258,,147775,,148073,,60839,,48882,,40623,,36237,,12890,,17813,,16141,,20133,,14273,,16272,,2281,,1469,,288,,146,,,,838,,,,3311,,,,638,,,,63,,,,,,,,,,,,231,,,,105,,,,,,,,,,440,,103,,,,,,,,960,,,,201,,,,,,,,,,,,,,,,,,,,22,,,,,,,,521,,,,128,,,,,,,,,,,,,,,,,,
144,"Dortmund II",9,208840,,208840,,141167,,141167,,1605,,1412,,139562,,139755,,59141,,49813,,40622,,34006,,9387,,15993,,12292,,15553,,14819,,16104,,2379,,1654,,,,101,,,,663,,,,2383,,,,931,,,,53,,922,,,,,,,,,,263,,,,70,,,,,,,,,,,,42,,,,,,,,1000,,,,275,,,,,,,,,,,,,,,,,,,,25,,,,,,,,677,,,,149,,,,,,,,,,,,,,,,,,
145,"Unna I",9,202933,,202933,,148909,,148909,,1757,,1552,,147152,,147357,,62638,,55439,,47702,,38646,,9418,,17773,,12737,,13756,,12451,,13842,,2206,,1665,,,,44,,,,207,,,,2439,,,,958,,,,52,,,,,,,,,,,,307,,,,88,,,,,,,,,,,,24,,,,,,,,1045,,,,183,,,,,,,,,,,,,,,,,,,,18,,,,,,,,727,,,,144,,,,,,,,,,,,,,,,,,
146,"Hamm - Unna II",9,239907,,239907,,167422,,167422,,2324,,1932,,165098,,165490,,72446,,55249,,54088,,52623,,14952,,19998,,8993,,12798,,11638,,15917,,2981,,2113,,,,60,,,,206,,,,2889,,,,675,,,,66,,,,,,,,,,,,536,,,,88,,,,,,,,,,,,26,,,,,,,,1049,,,,241,,,,,,,,,,,,,,,,,,,,26,,,,,,,,810,,,,120,,,,,,,,,,,,,,,,,,
