Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow",2,185926,,185926,,118231,,118231,,2691,,2237,,115540,,115994,,19696,,18106,,38102,,38746,,8015,,9888,,4500,,4745,,37851,,36270,,5733,,5283,,,,250,,,,,,,,2467,,,,,,,,,,1138,,,,505,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Mecklenburg-Vorpommern",99

19,"Hamburg-Mitte",3,252967,,252967,,167220,,167220,,2727,,2089,,164493,,165131,,56809,,46419,,43587,,38689,,12818,,19105,,,,,,21718,,22702,,2348,,1822,,,,132,,,,243,,,,6303,,,,1176,,,,,,,,,,,,,,,,,,,,,,27213,,27865,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Hamburg-Altona",3,173956,,173956,,130630,,130630,,1475,,1294,,129155,,129336,,46522,,32633,,38969,,33916,,10517,,17028,,,,,,12605,,15670,,771,,795,,158,,84,,,,104,,,,3344,,,,755,,,,,,954,,,,,,,,,,,,,,,,17799,,24462,,709,,545,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Hamburg-Eimsbüttel",3,186357,,186357,,142023,,142023,,1891,,1298,,140132,,140725,,33364,,37722,,43714,,37695,,11732,,18851,,,,,,12540,,14732,,969,,799,,,,70,,,,144,,,,3531,,,,934,,,,,,1295,,,,,,,,,,,,,,,,36518,,25819,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Hamburg-Nord",3,207016,,207016,,163012,,163012,,1821,,1357,,161191,,161655,,53469,,40909,,61873,,50174,,12766,,25269,,,,,,10805,,13429,,1010,,794,,,,46,,,,152,,,,3289,,,,876,,,,,,,,,,,,,,,,,,,,,,21268,,26306,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Hamburg-Wandsbek",3,217147,,217147,,150049,,150049,,2126,,1686,,147923,,148363,,51460,,42705,,53958,,44770,,11408,,20181,,,,,,14021,,16205,,1972,,1674,,,,50,,,,261,,,,3158,,,,1314,,,,,,,,,,,,,,,,,,,,,,13914,,17518,,1190,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Hamburg-Bergedorf - Harburg",3,219191,,219191,,143119,,143119,,2355,,1991,,140764,,141128,,54965,,42554,,46303,,41423,,10727,,16709,,,,,,14430,,16358,,2111,,1795,,,,63,,,,280,,,,3543,,,,1517,,,,,,,,,,,,,,,,,,,,,,11728,,16484,,,,402,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Hamburg",99
