Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Janßen;Cornelius Heinrich;17;13; 9 ;154
Janus;Richard;4;16; 7 ;190
Jarmer;Hans-Werner;12;;;1
Jarzombek;Thomas;6;10; 44 ;107
Jaschkowski;Erich;;;;74
Jasper;Dr. Dieter;6;10; 39 ;129
Jauernig;Dorothea;20;1; 8 ;261
Jehle;Jochen;29;1; 33 ;293
Jelpke;Ursula;13;10; 2 ;144
Jenkel;Reiner;13;;;131
Jennerjahn;Kai;21;3; 5 ;  
Jens;Karina Annemarie;6;8; 10 ;  
Jensen;Dr. Nils;23;6; 9 ;  
Jenssen;Jens;29;11; 29 ;  
Jenter;Anneliese;29;1; 32 ;294
Jepsen;Thomas;6;15; 19 ;  
Jeschke;Marieluise;14;3; 2 ;  
Jesinghausen;Elke;6;7; 43 ;  
Jezewski;Heinz-Werner;13;15; 6 ;1
Jöbkes;Bruno;4;;;113
Jochimsen;Dr. Lukrezia Luise;13;16; 2 ;  
Jochum;Mathias;6;12; 20 ;  
Jöckle;Wolfgang;23;11; 5 ;  
Johanning-Sturm;Silke;6;9; 45 ;  
Johannpötter;Norbert;23;10; 11 ;  
Johlke;Gisela;4;;;90
John;Robin;17;;;163
John;Rüdiger;23;11; 16 ;  
John;Siegmar;5;13; 11 ;158
Joosten;Arnold Peter;29;11; 16 ;  
Jordan;Dr. Hans-Heinrich;6;14; 5 ;67
Jörns;Sven Wolfgang;26;15; 4 ;  
Jost;Ingrid;13;10; 27 ;  
Juchler;Dr. Ingo;29;;;272
Julius;Gert;10;3; 8 ;  
Juner;Jörg;29;11; 26 ;  
Jung;Andreas;6;;;287
Jung;Dr. Franz Josef;6;7; 1 ;184
Jung;Gabriele;4;12; 4 ;  
Jung;Johannes;29;1; 19 ;271
Jung;Manuela;21;9; 3 ;  
Jung;Sabine;29;12; 8 ;  
Jung;Walter;17;11; 14 ;202
Jung;Xaver;6;11; 14 ;210
Jungmann;Jörg;13;7; 6 ;179
Junker;Franziska;13;9; 26 ;26
Junkereit;Luzian Bernd;13;;;135
Juratovic;Josip;29;1; 15 ;267
Jürgens;Ludwig;29;9; 51 ;  
Just;Dirk;4;;;210
Jüttner;Dr. Egon;6;1; 14 ;275
Jüttner;Johannes;14;2; 5 ;  
Kabisch;Jens ;29;13; 11 ;152
Kaczmarek;Oliver;29;10; 48 ;145
Kaehne;Arne;22;;;2
Kaenders;Gabriele;13;10; 25 ;  
Kaesbach;Martina;17;6; 4 ;  
Kahl;Dr. Hartmut Herrmann;4;13; 4 ;165
Kahl;Michèle;4;9; 15 ;  
Kahraman-Meister;Yazgülü;20;10; 4 ;  
Kahrs;Johannes;29;;;19
Kainz;Werner;15;2; 6 ;  
Kaiser;Brigitte Ottilie;27;9; 8 ;29
Kaiser;Christa;5;2; 2 ;220
Kaiser;Gerhard;29;7; 40 ;  
Kaiser;Manfred;23;16; 8 ;  
Kaiser;Peter;17;11; 22 ;  
Kaiser;Sandra;23;16; 10 ;  
Kalb;Bartholomäus;8;;;227
Kalka;Artur;21;3; 1 ;  
Kallweit;Patrick;22;9; 4 ;53
Kallweit;Uwe;22;;;46
Kaltenhauser;Dr. Helmut;17;2; 22 ;247
Kalteyer;Norman;13;;;184
Kaltschmid;Uwe;1;1; 7 ;  
Kamburoglu;Ali;;;;76
Kaminski;Maren;13;;;40
Kammer;Hans-Werner;6;9; 13 ;27
Kammer;Jürgen;26;12; 4 ;  
Kammer;Rochus;17;2; 33 ;  
Kammerer;Günther;17;2; 46 ;230
Kamp;Heiner;17;10; 19 ;132
Kampeter;Steffen;6;10; 8 ;135
Kanitz;Steffen;6;10; 52 ;143
Kanmaz;Olcay;13;;;198
Kanneder;Harald;;;;231
Kansiz;Ahmet;;;;185
Kapp;Helena;6;1; 29 ;  
Karcher;Thomas;;;;219
Karl;Alois;8;;;232
Karl;Andreas;22;14; 4 ;74
Karpowski;Ilja Bertold;5;10; 6 ;97
Karstens;Dr. Detleff;24;;;52
Karstens;Stefan;13;;;4
Kaschke;Andreas;22;;;97
Kaschner;Heidi;13;2; 19 ;  
Kasem;Suat;26;;;233
Kasper;Jacqueline;22;;;123
Kaster;Bernhard Nikolaus;6;11; 3 ;204
Kastner;Susanne;29;2; 2 ;248
Kästner;Alexander;6;16; 8 ;197
Kästner;Toni;5;13; 2 ;161
Kather;Ilse;20;3; 4 ;  
Kauch;Michael;17;10; 10 ;143
Kauder;Siegfried;6;;;286
Kauder;Volker;6;1; 3 ;285
Kaufmann;Dr. Stefan;6;;;258
Kaufmann;Johanna;23;;;263
Kauper;Thomas;24;2; 7 ;  
Kaute;Titus-Ivo;;;;79
Kekeritz;Uwe Adolf Otto;4;2; 10 ;243
Kelber;Ulrich;29;10; 16 ;97
Keller;Christian;29;9; 59 ;  
Keller;Hartmut;28;15; 1 ;  
Keller;Thomas;17;9; 24 ;50
Kemmerle;Hans-Jürgen;13;1; 20 ;265
Kepper-Grämer;Ulrike;17;7; 37 ;  
Keppler;Jens;22;;;284
Kerber;Michael;22;;;285
Kern;Daniel;6;11; 34 ;  
Kersken;Bärbel;20;16; 7 ;  
Kersting;Gerd;23;10; 1 ;  
Kersting;Sieglinde;23;10; 5 ;  
Kessing;Ulrike Josefine;4;;;102
Keßler;Ilko;29;13; 12 ;157
Keßler-Binder;Achim Robert;15;;;10
Kestler;Thomas;4;;;241
Keul;Katja;4;9; 5 ;41
Khalil;Nader;6;3; 13 ;  
Kieckbusch;Susanne;4;1; 19 ;295
Kiehl;Dr. Reinhold;;;;234
Kieninger;Franz Xaver;14;2; 11 ;  
Kienzer;Dr. Cornelia;18;;;222
Kiesewetter;Roderich;6;;;270
Kik;Thomas;14;10; 10 ;  
Kilic;Memet;4;1; 10 ;279
Kind;Lutz;;;;12
Kindelmann;Ralf;8;2; 51 ;  
Kindler;Sven-Christian;4;9; 6 ;36
Kindo;Anja;13;9; 24 ;27
Kipping;Katja;13;13; 1 ;160
Kirchgeßner;Andreas;13;1; 14 ;284
Kirchmann;Dr. Josef;3;2; 4 ;256
Kirchner;Bruno Josef;22;;;102
Kirf;Gertrud;29;12; 23 ;  
Kirsch;Martina;17;12; 10 ;  
Kirstan;Frank;29;3; 11 ;  
Kisa;Hakan;4;2; 24 ;  
Kistermann;Thomas;20;10; 13 ;  
Kisters;Stefan;4;;;214
Kitzberger;Manfred;14;2; 7 ;  
Klaeden von;Eckart Peter Hans;6;9; 2 ;49
Klages;Simon;26;7; 2 ;  
Klampe;Olaf;17;15; 10 ;7
Klamt;Ewa;6;9; 15 ;46
Klamt;Guido;23;;;265
Klanke;Olaf;22;;;42
Klare;Wolfgang;17;10; 58 ;138
Klaschka;Andreas;17;16; 5 ;189
Klatt;Anne;4;8; 5 ;16
Klaus;Helmut;14;2; 17 ;  
Klawun;Werner;22;;;27
Kleffel;Anne Käthe;20;9; 2 ;  
Kleffel;Kurt-Peter;20;9; 6 ;42
Kleiminger;Christian;29;;;14
Klein;Achim;23;;;17
Klein;Martin;13;;;205
Klein;Rosalinde;7;2; 1 ;  
Klein;Volkmar;6;10; 32 ;149
Klein-Schmeink;Maria Anna;4;10; 11 ;130
Kleinert;Thea;13;5; 3 ;  
Kleinfeld;Renate;29;6; 8 ;  
Kleinmann;Dr. Peter;6;12; 8 ;  
Kleist;Alexander;17;12; 9 ;  
Klemke;Horst Karl Hermann;28;10; 12 ;  
Klemkow;Jan;26;8; 3 ;  
Klenhart;Heidrich Torwald;22;2; 10 ;232
Kleppe;Thomas;24;5; 3 ;  
Klimke;Jürgen;6;6; 2 ;23
Klingbeil;Lars;29;9; 7 ;36
Klinge;Marcel;17;1; 29 ;286
Klingenberg;Harald;18;;;66
Klinger;Wolfgang;13;;;115
Klingner;Andreas;;;;156
Klis;Peter;;;;174
Klöckner;Julia;6;11; 6 ;202
Klodt;Hubert;17;10; 25 ;129
Klose;Hans-Ulrich;29;;;24
Klotzbücher;Dr. Michael;17;1; 22 ;288
Klotzsche;Mario;17;7; 21 ;175
Klug;Astrid;29;12; 3 ;299
Klug;Christoph Augustinus;20;10; 27 ;  
Klug;Hans-Robert;22;;;199
Knape;Andy;22;;;67
Knapp;Adolf;13;;;178
Knauber;Martin;17;10; 54 ;112
Knauer;Detlef;4;;;44
Knebel;Daniel;22;7; 4 ;180
Knitsch;Peter Erich;4;;;105
Knoche;Matthias;4;7; 8 ;172
Knoche;Monika;13;13; 9 ;159
Knöchner;Sieglinde;13;2; 13 ;224
Knocke;Rolf Bernhard;13;10; 33 ;  
Knoerig;Axel;6;9; 26 ;34
Knollmann;Carmen;6;10; 37 ;139
Knopek;Dr. Lutz;17;9; 9 ;54
Knöß;Dr. Per;17;;;204
Knott;Thorsten;17;10; 29 ;99
Knuffke;Frank;22;4; 11 ;  
Kobe;Gerd;14;1; 13 ;  
Kober;Pascal;17;1; 13 ;289
Koch;Christian;26;9; 2 ;  
Koch;Harald;13;14; 6 ;75
Koch;Helga;29;2; 20 ;241
Koch;Torsten;4;;;52
Koczy;Ute Maria Christine;4;10; 7 ;136
Koehler;Ulrich-Günther;17;;;70
Koenigs;Thomas;4;7; 4 ;174
Koeppen;Jens;6;4; 4 ;58
Koerlin;Julia;29;7; 32 ;  
Koesling;Michael;16;10; 9 ;111
Kofbinger;Anja;4;3; 5 ;83
Kofler;Dr. Bärbel;29;2; 16 ;225
Koglin;Hauke;22;5; 5 ;  
Kohl;Horst;24;2; 11 ;  
Kohle;Hans August;6;1; 55 ;  
Köhler;Dr. Kristina;6;7; 8 ;179
Köhler;Heiko;22;;;265
Köhler;Renate Erna;11;15; 1 ;  
Köhler;Werner;4;9; 16 ;29
Kohlmann;Sascha;6;11; 27 ;  
Köhn;Annette;;;;83
Kokott;Manuela;22;4; 3 ;66
Kolarczik;Mirco;13;;;294
Kolb;Christian;4;7; 20 ;177
Kolb;Dr. Heinrich Leonhard;17;7; 3 ;187
Kolb;Michael;6;1; 33 ;  
Kolbe;Anja;17;16; 3 ;192
Kolbe;Daniela;29;13; 4 ;153
Kolbe;Manfred Lothar;6;;;152
Kolbeck;Alexander Ludwig;16;2; 1 ;  
Kolkmann-Lutz;Dagmar Marie;20;13; 4 ;  
Kölle;Christian;20;6; 6 ;  
Köllner;Marion Monika Ingrid;13;9; 16 ;  
Köllner;Werner;10;3; 7 ;  
Kolmorgen;Ingo;4;;;109
Kolter;Cindy;13;10; 28 ;94
König;Josef;17;2; 47 ;  
König;Roland;17;12; 3 ;296
König;Ulrich;26;15; 3 ;  
Königshaus;Hellmut Georg Richard;17;3; 3 ;85
Könnecke;Wolf-Dieter;;;;55
Konrad;Dr. Fred;4;11; 4 ;211
Koplin;Torsten;13;8; 5 ;18
Kopp;Gudrun;17;10; 5 ;136
Köpp;Christian;4;;;278
Koppe;Walter Ernst Wolfgang;13;;;214
Koppelin;Jürgen;17;15; 1 ;3
Köppen;Daniel;5;3; 4 ;77
Körber;Sebastian;17;2; 9 ;236
Korcian;Eva;3;2; 27 ;  
Kordes;Henrik;20;7; 3 ;  
Korfmann;Patrick Alexander;14;;;230
Körndl;Georg;5;2; 16 ;  
Körner;Frank;22;;;171
Körner;Steve;24;;;167
Korntreff;Ina;20;14; 2 ;72
Korntreff;Stefanie;20;16; 2 ;  
Körper;Fritz Rudolf;29;11; 5 ;202
Korte;Jan;13;14; 2 ;72
Korte;Prof. Dr. Niels;6;3; 12 ;85
Kortmann;Karin;29;10; 24 ;108
Köschinger;Anton;11;7; 2 ;  
Koschmieder;Dietmar;10;3; 13 ;  
Koschorrek;Dr. Rolf;6;15; 8 ;3
Koschyk;Hartmut;8;;;237
Köse;Hamiyet;13;6; 7 ;  
Kosmanek;Margot;6;1; 45 ;  
Kosow;Heiko;4;;;148
Koß;Dr. Volker;4;;;11
Koß;Thoralf;4;;;156
Kossack;Philip;4;;;31
Kossendey;Thomas;6;9; 5 ;28
Köster;Stefan;22;;;12
Köster-Sollwedel;Hans Henning;13;7; 8 ;172
Kötter;Andrea;29;9; 58 ;  
Kotting-Uhl;Sylvia;4;1; 3 ;271
Kotzian;Emanuel;26;;;244
Kovac;Kordula;6;1; 12 ;  
Koziolek;Stephan-Gerhard;13;9; 19 ;  
Krabbes;Stefan;4;;;71
Kraemer-Schwinn;Ulrike;15;;;97
Kraft;Ursula;6;7; 23 ;  
Kraft;Volker;20;1; 3 ;259
Krafzik;Günter;24;2; 4 ;  
Kramer;Benjamin Manuel;17;7; 11 ;188
Kramer;Klaus-Dieter;;;;166
Kramer;Rolf;29;9; 18 ;34
Krämer;Martin;22;;;266
Krames;Erich;22;11; 7 ;201
Kramme;Anette;29;2; 12 ;237
Kranz;Ernst;29;16; 5 ;190
Kraume;Matthias;5;10; 4 ;121
Krause;Brian;4;;;270
Krause;Dr. Dietrich-Eckard;17;8; 7 ;18
Krause;Hendrik;26;8; 2 ;  
Krause;Johannes;29;14; 5 ;73
Krause;Ludwig;7;2; 9 ;  
Krause;Rainer Eckehard;17;10; 60 ;151
Krause;Steffen;11;5; 2 ;  
Krauß;Arthur Wolfram;;;;196
Krauß;Reiner;24;11; 3 ;  
Krauth;Tanja;13;;;202
Krebs;Jörg;22;7; 1 ;183
Kreh;Matthias;29;7; 19 ;  
Kreidemann;Alexander F.;22;;;256
Kreil;Horst;5;3; 7 ;79
Krell;Andreas;23;11; 9 ;  
Krellmann;Jutta;13;9; 5 ;47
Kremer;Marc-Benedict;22;;;100
Kressl;Nicolette;29;1; 3 ;273
Krestel;Holger;17;3; 4 ;82
Kretschmer;Michael;6;;;158
Kretzschmann;Gunter;22;;;112
Krichbaum;Gunther;6;;;279
Krichel-Mäurer;Hermann-Josef;29;10; 40 ;110
Krien;Frank Hartmut;22;13; 4 ;167
Krings;Dr. Günter;6;10; 31 ;110
Krischer;Oliver;4;10; 8 ;91
Krix;Stefan;23;;;126
Krogmann;Dr. Martina;6;9; 3 ;31
Krögner;Walter;29;1; 36 ;  
Kroll;Daniela;19;4; 6 ;  
Kroll;Dorothee;4;10; 29 ;93
Krönauer;Manfred;17;2; 16 ;  
Kronimus;Kilian;23;1; 4 ;  
Kruczkowski;Katarzyna Dorota;5;10; 1 ;120
Krug;Daniel;22;;;114
Krug;Dr. Michael;17;7; 36 ;  
Krüger;Dr. Hans-Ulrich;29;10; 36 ;114
Krüger;Jürgen;14;10; 12 ;  
Krüger;Lasse;22;9; 8 ;  
Krüger;Mario;24;2; 8 ;  
Krüger-Leißner;Angelika;29;4; 6 ;59
Krumbachner;Alois;5;2; 17 ;225
Krumwiede;Agnes;4;2; 9 ;217
Krupp;Holger Karsten;17;5; 5 ;  
Kruse;Michael;26;15; 6 ;  
Kruse;Rüdiger;6;6; 4 ;21
Krutten;Stefan;29;12; 17 ;  
Kubach;Walter;13;;;266
Kubacki;Klaus;10;3; 15 ;  
Kubat;Stefan;17;6; 12 ;  
Küber;Thurid;29;9; 29 ;30
Kubisch;Christian;26;;;246
Kucharczyk;Jürgen;29;10; 30 ;104
Kuchler;Hartwin;3;2; 5 ;  
Kuchta;Hans-Werner;24;;;282
Kudla;Bettina Irene;6;;;153
Kues;Dr. Hermann;6;9; 4 ;32
Kuhlmann;Max;15;3; 5 ;  
Kuhn;Dr. Arnd;4;10; 26 ;99
Kuhn;Fritz;4;1; 2 ;274
Kuhn;Klaus Dieter Kurt;11;4; 1 ;  
Kühn;Stephan;4;13; 2 ;161
Kühn-Mengel;Helga;29;10; 19 ;93
Kühne;Steffen;13;4; 8 ;63
Kühnel;Hans-Gerd Lutz;20;10; 17 ;  
Kührt;Marcus;5;13; 1 ;160
Kühsel;Heinz Hans Hermann;13;9; 33 ;36
Kujath;Rudolf;29;3; 10 ;86
Kumpf;Ute;29;1; 7 ;259
Künast;Renate;4;3; 1 ;82
Kunert;Katrin;13;14; 3 ;67
Kunkel;Willibert;22;10; 8 ;89
Kunkis-Becker;Cornelia;4;;;286
Künstle;Jutta Maria Irene;24;2; 13 ;  
Kuntz;Ernst Jakob;13;;;212
Kunz;Christian;13;14; 10 ;  
Kunz;Viktor;;;;209
Kurnaz;Bayram;;;;54
Kursawe;Günter;22;;;238
Kurtenbach;Wolfgang Wilhelm;27;10; 1 ;  
Kurth;Markus;4;10; 6 ;143
Kurth;Patrick;17;16; 1 ;191
Kurth;Undine;4;14; 1 ;69
Kurz;Matthias;26;12; 3 ;  
Kuschke;Dietmar;13;;;231
Kuske;Monika;20;14; 1 ;  
Küster;Jörg-Friedrich;13;9; 17 ;32
Kutzmutz;Rolf;13;;;62
Laame;Benedikt ;17;10; 48 ;   
Laaser;Sebastian;29;10; 68 ;  
Labigne;Claire;4;7; 25 ;  
Labouvie;Christa;4;8; 3 ;  
Labudda;Carsten;13;;;274
Lach;Günter;6;9; 27 ;52
Lachmann;Daniel;22;7; 3 ;177
Lachmann;Peter Christian Harri;27;2; 4 ;222
Ladewig;Richard;17;2; 34 ;220
Lafontaine;Oskar;13;12; 1 ;  
Lahni;Erhard;16;2; 11 ;  
Lambrecht;Christine;29;7; 6 ;188
Lamers;Dr. Karl;6;1; 10 ;274
Lämmel;Andreas Gottfried;6;13; 8 ;160
Lämmel;Uwe;4;;;135
Lämmer;Rosemarie;14;7; 1 ;  
Lammert;Prof. Dr. Norbert;6;10; 1 ;141
Lampl;Hans;27;2; 2 ;216
Lamprecht;Monika;;;;236
Lanari;Stefan;13;15; 7 ;  
Landauer;Dr. Peter;;;;221
Landgraf;Barbara Katharina;6;13; 5 ;155
Lanfermann;Heinz;17;4; 1 ;61
Lang;Peter;2;1; 3 ;  
Lang;Rudolf;23;2; 7 ;247
Langanki;Jürgen;14;2; 15 ;249
Lange;Christian;29;1; 4 ;269
Lange;Cornelia;6;7; 29 ;  
Lange;Hans-Jürgen;;;;268
Lange;Helmut Walter Wolfgang;20;5; 1 ;55
Lange;Robert;26;7; 5 ;  
Lange;Ulrich;8;;;254
Lange;Volker Rainer Hartmut;29;9; 50 ;  
Lange;Wanja Max;20;5; 3 ;  
Länge;Jean Dominique;23;1; 7 ;  
Langefeld;Jörn;17;10; 52 ;91
Langen;Doreen;22;;;241
Langensiepen;Heidemarie Regine Elke (Heidi);17;11; 18 ;  
Langer;Dr. Vera Isabella;17;7; 12 ;185
Langer;Michael;14;7; 6 ;  
Langguth;Iris;4;;;298
Lanius-Heck;Rita;6;11; 25 ;  
Lanzinger;Barbara Maria;8;2; 23 ;  
Lapsien;Dr. Jürgen Hans;23;10; 10 ;  
Lardon;Dr. Hartmut;17;11; 11 ;209
Lätzsch;Mike;13;13; 14 ;  
Laubel;Thomas;26;1; 2 ;  
Lauer;Paul;17;1; 31 ;282
Lauinger;Dieter;4;16; 2 ;193
Laurisch;Dennis;26;1; 1 ;271
Laurischk;Mario Michael;6;4; 9 ;65
Laurischk;Sibylle;17;1; 6 ;284
Lausberg;Dr. Conrad;23;2; 23 ;220
Lauterbach;Brigitte Renate;22;;;160
Lauterbach;Prof. Dr. Karl;29;10; 49 ;102
Laux;Claudia Marianne;4;11; 9 ;  
Lay;Caren Nicole;13;13; 7 ;157
Lazar;Monika;4;13; 1 ;154
Leber;Tim;16;12; 7 ;  
Lebmeier;Josef;5;2; 7 ;  
Lechner;Sebastian;6;9; 23 ;44
Lechner;Thomas Gerhard;16;2; 15 ;  
Lechte;Ulrich Werner Maria;17;2; 21 ;  
Lederer;Dr. Klaus;13;3; 6 ;76
Lederle;Felix Paul Edgar;13;;;78
Lehle;Bernhard;4;;;263
Lehmann;Klaus;23;11; 3 ;  
Lehmann;Uwe;;;;68
Lehmer;Dr. Max;8;;;214
Lehming;Erwine;22;;;95
Lehmler;Aloys;22;12; 3 ;297
Lehner;Dr. Kurt;17;3; 10 ;76
Lehnert;Ruben;13;;;83
Lehrberger;Sebastian;18;;;225
Lehrieder;Paul;8;;;251
Leibrecht;Harald;17;1; 4 ;266
Leidig;Sabine;13;7; 1 ;187
Leidinger;Markus;29;11; 23 ;  
Leinen;Prof. Dr. Felix;23;11; 2 ;206
Lelke;Andreas;5;7; 4 ;  
Lemke;Helmut;28;15; 3 ;  
Lemm;Michael;13;16; 13 ;  
Lemme;Steffen-Claudio;29;16; 3 ;191
Lemmermeier;Siegfried;;;;254
Lempp;Dr. Hans-Volkhard;8;2; 61 ;  
Lenger;Tammo;4;;;26
Lengert;Peter;13;16; 12 ;  
Lengsfeld;Vera;6;3; 6 ;84
Lenk;Sebastian;6;16; 13 ;  
Lenkert;Ralph;13;16; 1 ;194
Lenz;Jürgen;;;;168
Lenz-Aktas;Ingrid;29;2; 36 ;222
Leonhard;Dr. Elke;29;11; 12 ;203
Leonhard;Gino;17;;;15
Leopold;Sabine;20;10; 22 ;  
Lerch;Helga;17;11; 19 ;  
Leucht;Maximilian;17;2; 23 ;223
Leusmann;Bernhard;2;1; 2 ;  
Leutert;Michael Gerhard;13;13; 6 ;163
Leutheusser-Schnarrenberger;Sabine;17;2; 1 ;224
Lewis;Christopher;5;7; 6 ;  
Leyen von der;Dr. Ursula;6;9; 1 ;43
Leyendecker;Rainer;;;;271
Lieb;Robert;14;2; 24 ;  
Liebeck;Maria;6;10; 58 ;  
Liebehenz;Marc;17;10; 49 ;126
Liebenow;Fritz;22;;;80
Liebhart;Werner Hans;17;2; 51 ;  
Liebich;Stefan;13;3; 4 ;77
Liebing;Ingbert;6;15; 7 ;2
Liederwald;Hans Dieter;11;11; 1 ;  
Liedy;Ulrike;16;11; 5 ;  
Lierse;Lore;22;4; 6 ;59
Lietz;Matthias;6;8; 3 ;16
Lillge;Dr. Wolfgang;5;3; 3 ;87
Lillge;Ulrike;5;4; 1 ;  
Limmer;Kai;22;;;237
Lindemann;Hendrik;17;2; 58 ;250
Lindemann;Lars Friedrich;17;3; 2 ;  
Lindemann;Thomas;22;;;71
Linden;Hans;1;10; 4 ;  
Lindholz;Andrea;8;2; 29 ;  
Lindlar;Manuel;13;10; 18 ;102
Lindlohr;Andrea;4;1; 15 ;261
Lindner;Christian;17;10; 9 ;101
Lindner;Dietmar;16;2; 14 ;  
Lindner;Dr. Martin;17;3; 1 ;77
Lindner;Tobias;4;11; 6 ;212
Lingnau;Dr. Hildegard;4;;;198
Link;Dr. Manfred;27;2; 3 ;253
Link;Heinz Werner;3;;;254
Link;Michael Georg;17;1; 9 ;267
Link;Peter Wigbert;6;9; 40 ;  
Linke;Dr. Marianne Monika;13;;;15
Linnemann;Dr. Carsten;6;;;138
Linse;Julia;6;11; 19 ;  
Lips;Patricia;6;7; 11 ;187
Lischka;Burkhard;29;14; 2 ;70
Lissner;Simon;4;;;178
Litfin;Uwe;19;4; 5 ;  
Lobeck;Sven;22;11; 4 ;200
Lobocki;Ingeborg Anna;11;15; 2 ;  
Loch;Wolfgang;27;12; 5 ;  
Lockfisch;Klemens;22;1; 4 ;  
Loeber;Alfred;28;10; 5 ;  
Loepelmann;Johannes;26;8; 6 ;  
Loeper;Norbert;27;9; 13 ;  
Löffler;Max;4;;;94
Löffler;Oskar;;;;295
Lohfing-Blanke;Klaus;;;;190
Lohmann;Dorothee;20;1; 12 ;  
Lohmeier;Roland;27;;;225
Lohmeyer;Johannes Hubertus;17;;;160
Löhr;Christoph;26;11; 5 ;  
Löhr;Marlene;4;15; 9 ;  
Löning;Markus Michael Maria;17;;;84
Look;Mario;23;3; 2 ;  
Lörch;Bernhard Paul;23;1; 9 ;  
Lörcher;Wolfgang;13;;;175
Lörcks;Rudolf;26;10; 5 ;  
Lorent;Stefan;13;1; 12 ;  
Lorenz;Bernd Gerhard;22;;;240
Lorenz;Gertrud;6;1; 61 ;  
Lorenz;Joseph;14;;;236
Lorenz;Kathrin;6;16; 15 ;  
Lorsbach;Kurt-Heinz;14;10; 14 ;  
Lösekrug-Möller;Gabriele;29;9; 6 ;47
Lotter;Dr. Erwin Georg;17;2; 12 ;253
Lotze;Hiltrud;29;9; 25 ;38
Lötzer;Ursula Cornelia;13;10; 1 ;96
Lötzsch;Dr. Gesine;13;3; 3 ;87
Louis;Klaus;22;;;287
Lowack;Gert;4;2; 18 ;237
Lübbe;Lars;6;9; 44 ;  
Lück;Andreas;17;3; 7 ;83
Luczak;Dr. Jan-Marco;6;3; 7 ;82
Luczak;Jochen;4;10; 20 ;88
Lüder;Karl Heinz;;;;17
Ludewig;Gottfried;6;;;77
Ludosan;Felix-Anton;16;11; 4 ;  
Ludwig;Arne;26;9; 6 ;  
Lühmann;Kirsten;29;9; 8 ;45
Lukaßen;David;4;5; 4 ;  
Lukner;Oliver;17;1; 27 ;292
Luksic;Oliver;17;12; 1 ;298
Lurz;Manfred;13;;;136
Luther;Dr. Michael Andreas;6;13; 4 ;166
Lütke;Jens;22;15; 2 ;6
Lutz;Hans-Jürgen;21;7; 5 ;  
Lutz;Janet;4;;;191
Lutze;Thomas;13;12; 2 ;  
Lux;Benedikt;4;;;80
Lux;Josefa;29;10; 38 ;  
Lux;Stefan;22;3; 6 ;  
Maag;Karin ;6;1; 8 ;259
Maar;Herbert;27;2; 13 ;  
Maaß;Jens;21;3; 6 ;  
Maaß;Simone;4;;;197
Macamo;Bärbel Heike;;;;189
MacGregor;Wolfgang;13;;;137
Machleid;Andrea;22;;;73
Machner;Karin;22;;;233
Macholdt;Robert;26;6; 2 ;  
Machon;Dr. Christian Hermann;8;2; 43 ;  
Mack;Hermann;14;2; 14 ;  
Mackert;Dr. Roland;;;;266
Mädel;Wolfgang;29;15; 15 ;  
Mahlberg;Thomas;6;10; 36 ;116
Mai;Franz-Josef;23;16; 2 ;  
Mai;Susann;23;16; 7 ;  
Maier;Edeltraud;23;1; 5 ;  
Maier;Franz;5;2; 5 ;213
Maier;Norbert;6;1; 57 ;  
Maier;Sascha Andre;22;;;127
Mair;Bejamin;3;2; 28 ;  
Mair;Katrin;8;2; 26 ;  
Maisch;Nicole;4;7; 3 ;169
Maizière de;Dr. Karl Ernst Thomas;6;13; 1 ;156
Majer;Thorsten;29;1; 27 ;266
Majewski;Eva;6;3; 11 ;  
Makhloufi;Lydia;5;10; 7 ;  
Malczak;Agnes;4;1; 11 ;294
Malecha-Nissen;Dr. Birgit;29;15; 9 ;6
Malirs;Hans-Jürgen;19;4; 1 ;  
Maller;Anton;3;2; 29 ;  
Mallmenn;Roger;13;;;201
Malsch;Siegfried Heinrich Eduard;27;2; 18 ;  
Mäncher;Eric;29;11; 33 ;  
Mändlen;David;26;2; 12 ;  
Manegold;Prof. Bodo;6;3; 14 ;  
Manes;Ulrich;14;10; 4 ;  
Mang;Michael;29;11; 22 ;  
Mang;Sylvia;13;2; 15 ;255
Mangold-Nietzschmann;Maria-Barbara;;;;252
Mann;Manuel;22;;;172
Mantovanelli;Marco Gérard;4;10; 16 ;132
Mantseris;Nicolas;4;8; 4 ;18
Manz;Josef;6;1; 63 ;  
Manzewski;Dirk;29;8; 3 ;17
Marcian;Margitta;21;7; 1 ;180
Markau;André;22;;;78
Markert;Hans Christian;4;;;111
Market;Alfred;14;2; 20 ;  
Marklein;Steffen;4;8; 6 ;17
Marks;Caren;29;9; 12 ;44
Marmann;Yvonne;6;11; 20 ;  
Marohn;Ralf;17;11; 9 ;208
Marschall;Rainer;22;;;207
Marschner;Frank;22;7; 10 ;185
Martens;Anke;22;6; 6 ;  
Martin;Axel;26;9; 9 ;  
Martin;Günter;;;;92
Martin;Paula;24;2; 10 ;  
Martin;Richard;24;2; 5 ;  
Martini;Guido;27;12; 4 ;  
Martini;Hans-Robert;27;12; 2 ;  
Marwein;Thomas;4;;;284
Marwitz von der;Hans-Georg;6;4; 5 ;60
Marx;Peter;22;;;296
Maßberg;Reinhard Helmut Anton;5;2; 4 ;230
Maßon;Norbert;13;;;273
Mast;Dr. Willi Alfred;20;10; 10 ;  
Mast;Katja;29;1; 13 ;279
Matheis;Ralf;;;;289
