Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Burchardt;Ursula;29;10; 27 ;144
Burgbacher;Ernst;17;1; 3 ;285
Burger;Dr. Thomas;29;2; 53 ;  
Burger-Heidger;Max;4;;;285
Burholt;Dr. Christian;6;3; 8 ;76
Burkart;Karin;4;12; 2 ;296
Burkert;Boris;4;;;229
Burkert;Martin;29;2; 13 ;245
Burkhardt;Karl-Heinz;11;3; 2 ;  
Burkowski;Franz Paul;24;5; 4 ;  
Burmeister;Erich Karl;13;;;122
Burmester;Andreas;29;9; 41 ;  
Bursian;Thomas Wolfgang;17;11; 24 ;  
Bursukis;Yani;29;7; 28 ;  
Busch-Hübenbecker;Walter;13;;;186
Büschleb;Andreas;22;;;44
Buschmann;Marco;17;10; 20 ;124
Büsing;Erika-Marika;29;5; 5 ;  
Bussche-Haddenhausen Freiherr von dem;oris-Georg;17;9; 22 ;38
Bußmann;Windfried;28;10; 3 ;  
Butenschön;Brigitte;20;9; 7 ;  
Caesar;Cajus Julius ;6;10; 20 ;136
Canel;Sylvia;17;6; 2 ;  
Caravetta Glosemeyer;Immacolata;29;9; 43 ;  
Carlhoff;Hans-Werner;6;1; 38 ;  
Carls;Richard Hermann;11;9; 3 ;  
Carstensen;Christian;29;6; 5 ;22
Caspary;Olaf;11;3; 3 ;  
Castellucci;Dr. Lars;29;1; 22 ;277
Cayrol;Nicole;29;12; 28 ;  
Christen;Mario;23;3; 1 ;  
Christiansen;Rainer Helmar;;;;80
Christinck;Heiner Leslie Otto;16;10; 3 ;114
Christoph;Stefan;4;2; 22 ;234
Ciechoradzki;Rainer;23;16; 5 ;  
Cigelski;Volker;22;;;249
Claaßen;Antje;13;;;295
Clasen;Bernhard;13;;;110
Claus;Roland;13;14; 4 ;74
Claussen;Claus Christian;6;15; 14 ;  
Clemens;Stefan Georg;16;2; 12 ;  
Coelho;Christine;15;1; 4 ;  
Cölsch;Ingrid;15;3; 1 ;80
Connemann;Gitta;6;9; 12 ;26
Conrad;Gabriele Maria;20;;;271
Conrads;Anna;13;10; 19 ;  
Conz;Michael;17;1; 17 ;258
Cordes;Florian;22;;;29
Corné de;Walter;1;10; 6 ;  
Corr;Eva-Maria;16;11; 3 ;  
Coscia;Lino;;;;41
Crämer;Thorsten;22;;;139
Cramon-Taubadel von;Viola;4;9; 7 ;53
Cremer;Claus;22;10; 1 ;141
